,company Name,CIN,ROC Name,Date of Incorporation,Registered Address,Authorised Capital,Paid Up Capital,Date of Last AGM,Date of Latest Balance sheet,Company Status
634,RSD FOREX AND TRAVELS PRIVATE LIMITED,U74999WB2012PTC181409,RoC-Kolkata,07/05/2012,8 MARQUIS STREET P.S. - PARK STREET KOLKATA Kolkata WB 700016 IN,₹ 2600000,₹ 2600000,30/09/2017,31/03/2017,Active
635,NEXGEN ENGINEERING & INFRASTRUCTURES PRIVATE LIMITED,U29253TG2011PTC076273,RoC-Hyderabad,02/09/2011,Door No 6-3-967 Flat 503 Kaarnik Towers Chintal Basthi Khairtabad Hyderabad Hyderabad TG 500004 IN,₹ 100000,₹ 100000,,,Strike Off
636,GURUPREET COMPUTERS PRIVATE LIMITED,U74140TN1993PTC024264,RoC-Chennai,28/01/1993,"16/16, RAMS, 3RD MAIN ROADGANDHI NAGAR,ADAYAR, MADRAS-600020 MADRAS-600020 Tamil Nadu INDIA 600020",₹ 200000,₹ 100000,,,STRIKE OFF
637,NEW AGE MANAGEMENT SERVICES PRIVATE LIMITED,U31401DL1990PTC042345,RoC-Delhi,11/12/1990,15 G.F. PADMA TOWER-II 22RAJINDRA PLACE NEW DELHI Delhi INDIA,₹ 100000,₹ 3000,,,STRIKE OFF
638,WINSOME ENGINEERING WORKS PRIVATE LIMITED,U29299TZ2013PTC019565,RoC-Coimbatore,05/06/2013,Old No.81 Teachers Colony Vilankuruchi Road Coimbatore Coimbatore TN 641035 IN,₹ 100000,₹ 100000,,,Active
639,ATHITHI MITHRA SERVICE PRIVATE LIMITED,U55204KA2017PTC108477,RoC-Bangalore,07/12/2017,97/1 MITHRA NIVAS 2ND CROSS M G LAYOUT HALAGEVADERAHALLI RAJARAJESHWARINAGAR BANGALORE Bangalore KA 560098 IN,₹ 100000,₹ 100000,,,Active
640,PIONEER PROFESSIONALS CONSULTING PRIVATE LIMITED,U74140DL2011PTC217777,RoC-Delhi,19/04/2011,HOUSE NO. 12 BLOCK NO. 70 SECTOR-1 PUSHP VIHAR NEW DELHI South Delhi DL 110017 IN,₹ 100000,₹ 100000,30/09/2015,31/03/2015,Active
641,JASRAJ ENTERPRISES PRIVATE LIMITED,U29253PN2013PTC148647,RoC-Pune,30/08/2013,S NO. 698/1 PL 417 FL 8A GULTEKADI PUNE Pune MH 411009 IN,₹ 100000,₹ 100000,,,Strike Off
642,DJ MATRIX CONSULTING PRIVATE LIMITED,U74900KA2011PTC060183,RoC-Bangalore,28/08/2011,C-133 Sobha Magnolia Bannerghatta Road Bangalore KA 560029 IN,₹ 1000000,₹ 200000,29/09/2016,31/03/2016,Active
643,PAR SALES PRIVATE LIMITED,U31401DL1992PTC048117,RoC-Delhi,23/03/1992,"205, KAILASH BHAWAN, 35 COMMUNITY CENTRE WAZIRPUR INDL.AREA DELHI Delhi INDIA",₹ 100000,₹ 15000,,,STRIKE OFF
644,ANGLEPLUS PROJECT CONSULTANTS PRIVATE LIMITED,U74140KL2012PTC031907,ROC-Ernakulam,14/08/2012,"VAISHNAV EDAPALLY POST, MANIMALA ROAD ERNAKULAM Kerala INDIA 682024",₹ 100000,₹ 100000,,,ACTIVE
645,VIKASH BHARTI TELEVISION PRIVATE LIMITED,U74900MH2010PTC205106,RoC-Mumbai,01/07/2010,3A/401 SWAMI SAMARTH COHS MHADA COLONY SAHAKAR NAGAR NEAR TILAK NAGAR LOCAL STATION KURLA EAST MH 400024 IN,₹ 100000,₹ 100000,30/09/2016,31/03/2016,Active
646,PRESEEM INVESTMENT AND FINANCE PRIVATE LIMITED,U74899DL1994PTC063264,RoC-Delhi,07/12/1994,WB 149 SHAKARPUR DELHI Delhi INDIA 110092,₹ 500000,₹ 465200,,,DORMANT
647,SOND ASSOCIATES ENGG PVT LTD,U29294PB1991PTC011334,RoC-Chandigarh,08/05/1991,442/8G T ROAD AMRITSAR PUNJAB Punjab INDIA 143006,₹ 2000000,₹ 1985000,,,ACTIVE
648,MUSLIM TIMES LIMITED,U99999MH1946PTC004999,RoC-Mumbai,12/06/1946,Maharashtra INDIA,₹,₹,,,DISSOLVED
649,NEXTEL BUILDCON PRIVATE LIMITED,U70102WB2013PTC197163,RoC-Kolkata,11/09/2013,C/O- ALOK CHOUDHURY 76/B NEW ALIPOREBLOCK-E 3RD FLOOR FLAT NO-10 KOLKATA Kolkata WB 700053 IN,₹ 40000000,₹ 30900000,29/09/2017,31/03/2017,Active
650,MAYTAS HILL COUNTY PROJECTS PRIVATE LIMITED,U45200TG2007PTC052508,RoC-Hyderabad,25/01/2007,6-3-1186/1&amp;2 IL&amp;FS Engineering House Begumpet Hyderabad Hyderabad TG 500016 IN,₹ 100000,₹ 100000,28/09/2011,31/03/2011,Strike Off
651,DEV AMEDEE MOSQUITO CONTROL DEVICES PRIVATE LIMITED,U29299KA2006PTC040534,RoC-Bangalore,18/09/2006,NO.17178TH A MAIN HAL III STAGE BANGALORE Bangalore KA 560075 IN,₹ 200000,₹ 0,,,Strike Off
652,MULTI MATRIX EQUIPMENT PVT LTD,U29299DL1982PTC014289,RoC-Delhi,02/09/1982,"M-300, CHANDRA BHAWAN, 67-68,NEHRU PLACE NEW DELHI-19. Delhi INDIA",₹ 500000,₹,,,STRIKE OFF
653,CALAVIER ELECTROMECH DEVICES PRIVATE LIMITED,U31909TG2006PTC051095,RoC-Hyderabad,08/09/2006,FIRST FLOOR PLOT NO. 23 NAVODAYA COLONY YELLAREDDYGUDA HYDERABAD TG 500073 IN,₹ 100000,₹ 0,,,Active
654,DESPEC TECHNOLOGY (INDIA) LIMITED,U30007MH2004PLC146359,RoC-Mumbai,17/05/2004,B3 4TH FLOORMATRU ASHIHS C H S NEPEANSEA ROAD MUMBAI Maharashtra INDIA 400036,₹ 30000000,₹ 500000,,,DORMANT
655,SAURSHAKTI SOLAR PRIVATE LIMITED,U29253PN2013PTC146081,RoC-Pune,22/01/2013,NIRMAN PLAZA GUJAR MALA SHIRUR Pune MH 412210 IN,₹ 100000,₹ 100000,30/09/2015,31/03/2015,Active
656,AMARA RAJA POWER SYSTEMS LIMITED,U31102AP1984PLC005165,RoC-Hyderabad,06/12/1984,RENIGUNTA CUDDAPAH ROADKARAKAMBADI TIRUPATI Andhra Pradesh INDIA 517520,₹ 50000000,₹ 46685420,,,ACTIVE
657,MOUNT ELECTRONICS PRIVATE LIMITED,U31401DL1995PTC073694,RoC-Delhi,09/11/1995,"291/64, M B ROAD, LADO SARAIN DELHI Delhi INDIA",₹ 500000,₹ 10100,,,STRIKE OFF
658,PARK SOFTWARE SOLUTION & SYSTEMS PRIVATE LIMITED,U30006TN1996PTC035070,RoC-Chennai,04/04/1996,"D-9,11C CROSS,THILLAI NAGAR,TRICHY-18 THILLAI NAGAR,TRICHY-18 Tamil Nadu INDIA",₹ 100000,₹ 100000,,,DORMANT
659,BALU AUTO COMPONENTS PRIVATE LIMITED,U29253TN2009PTC071726,RoC-Chennai,25/05/2009,NO 4M.C.N.NAGARMETTUKUPPAM INDUSTRIAL COMPLEX OKKIYAM THORAIPAKKAM CHENNAI Chennai TN 600097 IN,₹ 7500000,₹ 7500000,30/09/2016,31/03/2016,Active
660,ZEN TANKS AND VESSELS PRIVATE LIMITED,U29253TG2010PTC068351,RoC-Hyderabad,10/05/2010,"Plot no.31 &amp;34 , Flat no.s-6, Krishna kaveri nivas 1st main road, Shakthi nagar, RK puram Secunderabad TG 500056 IN",₹ 500000,₹ 440000,31/12/2020,31/03/2020,Active
661,PRIT HOUSEWARE PRIVATE LIMITED,U29301MH2005PTC153699,RoC-Mumbai,02/06/2005,501-A MOHAN TERRACE -BKASTUR PARK SHIMPOLI RD BORIVALI (WEST) MUMBAI Maharashtra INDIA 400092,₹ 100000,₹ 100000,,,DORMANT
662,KALINGA ADVENTURES AND AVIATION PRIVATE LIMITED,U92419OR2002PTC006894,RoC-Cuttack,21/08/2002,PLOT NO 200/2010KHANDAGIRI BHUBANESWAR KHUDRA Orissa INDIA 751030,₹ 100000,₹ 10000,,,STRIKE OFF
663,ACCELA ENGINEERS PRIVATE LIMITED,U29253PN2011PTC141601,RoC-Pune,12/12/2011,PLOT NO 88 MORYAKRUPA BIJLEENAGAR CHINCHWAD PUNE Pune MH 411033 IN,₹ 100000,₹ 100000,,,Strike Off
664,MSNGUPTHA CHITS PRIVATE LIMITED,U74999KA2017PTC101266,RoC-Bangalore,10/03/2017,No. 212 B-Block Bandipalya Market Yard Mysore Mysore KA 570025 IN,₹ 1000000,₹ 100000,,,Active
665,SHIVPHAL REALESTATE PRIVATE LIMITED,U45400WB2014PTC201470,RoC-Kolkata,26/03/2014,5 C.R. AVENUE 3RD FLOOR KOLKATA Kolkata WB 700072 IN,₹ 100000,₹ 100000,30/09/2017,31/03/2017,Active
666,XPRESS INTERNATIONAL PARCEL SERVICES PRIVATE LIMITED,U74999MH2014PTC260148,RoC-Mumbai,15/12/2014,23 Chanchal Smruti 25 G. D. Ambekar Marg Wadala Mumbai Mumbai City MH 400031 IN,₹ 20000000,₹ 100000,30/09/2016,31/03/2016,Active
667,PANCHTANTRA PROJECTS PRIVATE LIMITED,U45400WB2014PTC201571,RoC-Kolkata,28/03/2014,36 STRAND ROAD KOLKATA KOLKATA Kolkata WB 700001 IN,₹ 100000,₹ 100000,,,Active
668,RAINBOW REALCON PRIVATE LIMITED,U45200DL2008PTC179428,RoC-Delhi,12/06/2008,E-4 DILSHAD COLONY DILSHAD GARDEN DELHI DL 110091 IN,₹ 1000000,₹ 1000000,27/07/2017,31/03/2017,Active
669,VIEWSPOWER SOLUTIONS PRIVATE LIMITED,U74900DL2013PTC250440,RoC-Delhi,08/04/2013,214 SUBHASH KHNAD GIRI NAGAR KALKAJEE DELHI South Delhi DL 110019 IN,₹ 100000,₹ 100000,30/09/2015,31/03/2015,Active
670,PRANANJALI INVESTMENTS AND TRADING CO PVT LTD,U65990MH1982PTC026438,RoC-Mumbai,24/02/1982,"CHROMIUM HOUSE, S V ROAD,DAHISAR, BOMBAY-68 Maharashtra INDIA",₹ 100000,₹,,,ACTIVE
671,SARUNDA LAMPS PRIVATE LIMITED,U31501RJ1990PTC005702,RoC-Jaipur,27/11/1990,BIKANER ROAD NOKHA BIKANER Rajasthan INDIA 334803,₹ 500000,₹ 500000,,,ACTIVE
672,WISEMAN FOREX AND SERVICES PRIVATE LIMITED,U29299DL1983PTC016753,RoC-Delhi,12/10/1983,"202, BHANOT PLAZA-II, 3, DESH BHANDHU GUPTA ROAD, PAHARGANJ, NEW DELHI Delhi INDIA 110055",₹ 1100000,₹ 800000,,,ACTIVE
673,S R EQUIPMENTS PRIVATE LIMITED,U96000DL1988PTC030249,RoC-Delhi,11/01/1988,"3652, GALI LOHEWALI CHAWRI BAZAR . DELHI Delhi INDIA",₹ 1000000,₹ 5000,,,ACTIVE
674,ENORMOUS REFINE OIL PRIVATE LIMITED,U15141DL2012PTC233713,RoC-Delhi,30/03/2012,B 30 1ST FLOOR RAM NAGAR OM VIHAR UTTAM NAGAR DELHI West Delhi DL 110059 IN,₹ 100000,₹ 100000,29/09/2012,31/03/2012,Strike Off
675,CLEANAIR ENGINEERS PRIVATE LIMITED,U29253TN2010PTC076379,RoC-Chennai,30/06/2010,Plot No: 5/8BGiri Nagar Annexe Church Street Ramapuram Chennai Chennai TN 600089 IN,₹ 100000,₹ 100000,,,Strike Off
676,ELECSTAR TECHNOLOGIES PRIVATE LIMITED,U33111AP2012PTC078452,RoC-Hyderabad,07/01/2012,40-6-21II FLOOR Revenue colony Moghulrajpuram Vijayawada Srikakulam AP 520010 IN,₹ 100000,₹ 100000,,,Strike Off
677,COLOURS OF EMERALD ISLANDS PRIVATE LIMITED,U74999AN2017PTC005356,RoC-ANDAMAN,31/05/2017,HADDO (BACK TEL. MEDIUM SCHOOL) PORT BLAIR SOUTH ANDAMAN Andaman Islands AN 744101 IN,₹ 100000,₹ 100000,,,Active
678,DONGHEE VISION INDUSTRIAL COMPANY LIMITED,U29309TN1997PLC039461,RoC-Chennai,21/11/1997,"B9 &10,SIPCOT INDUSTRIAL PARKIRUNGATTUKOTTAI SRIPERUMBUDUR TAMILNADU Tamil Nadu INDIA",₹ 136000000,₹ 117106520,,,LIQUIDATED
679,TRANSMERIDIAN PROJECTS PRIVATE LIMITED,U74140WB1998PTC087211,RoC-Kolkata,27/05/1998,BLOCK F N 1 1ST FLOORRABINDRA SARANI KOLKATA West Bengal INDIA 700073,₹ 5000000,₹ 1641950,,,ACTIVE
680,DRISHTI HOME DECOR PRIVATE LIMITED,U51430GJ2009PTC056400,RoC-Ahmedabad,20/03/2009,A-302 PALAK II OPP VISHAL RESIDENCY ANANDNAGAR RAMDEVNAGAR ROADSATELLITE AHMEDABAD GJ 380015 IN,₹ 1500000,₹ 1449650,30/09/2014,31/03/2014,Active
681,CITY CYBER MART PRIVATE LIMITED,U74999WB2012PTC181436,RoC-Kolkata,07/05/2012,MADHYA CHANDIPUR Vill + P.O.:CHANDIPURP.S. :BADURIA KOLKATA WB 743247 IN,₹ 100000,₹ 100000,30/09/2014,31/03/2014,Strike Off
682,GAMMON ENGINEERS PRIVATE LIMITED,U74210MH1978PTC020701,RoC-Mumbai,17/10/1978,"GAMMON HOUSE,VEER SAVARKAR MARG, PRABHADEVI, MUMBAI - 400 025 MUMBAI Maharashtra INDIA",₹ 500000,₹,,,STRIKE OFF
683,RELIABILITY INDUSTRIES INDIA PRIVATE LIMITED,U29253TG2010PTC068699,RoC-Hyderabad,31/05/2010,PLOT NO.G-1OFFICETHIRUMA ENCLAVE SRIRAM NAGARSURARAM HYDERABAD Hyderabad TG 500055 IN,₹ 10000000,₹ 5061170,,,Strike Off
684,AMBICA DEALCOMM PRIVATE LIMITED,U51109WB2008PTC127838,RoC-Kolkata,24/07/2008,2 GIRISH GHOSH ROAD BELUR HOWRAH WB 711202 IN,₹ 200000,₹ 100000,21/09/2017,31/03/2017,Active
685,DAKSHAA CABLE AND WIRE PRIVATE LIMITED,U31908MH2012PTC234956,RoC-Mumbai,27/08/2012,A2 SAGAR KUNJ JAYAPRAKASH ROAD SEVEN BUNGLOW OPP. HDFC BANK ANDHERI (W) MUMBAI Mumbai City MH 400061 IN,₹ 100000,₹ 100000,30/09/2017,31/03/2017,Active
686,ROBEEN GHOSE & ASSOCIATES PVT LTD,U32109WB1985PTC038743,RoC-Kolkata,04/04/1985,"FLAT NO. D-1, 1ST FLOOR 1/7/5, SOUTH PURBACHAL HOSPITAL ROAD KOLKATA West Bengal INDIA 700078",₹ 500000,₹ 475000,,,ACTIVE
687,PERCEPTION & QUANT RESEARCH PRIVATE LIMITED,U74140DL2013PTC262805,RoC-Delhi,27/12/2013,B-1/D-8 Lower Ground Floor Mohan Cooperative Industrial Area Mathura Road New Delhi New Delhi DL 110044 IN,₹ 100000,₹ 100000,30/09/2017,31/03/2017,Active
688,BLUE BIRD OVERSEAS PRIVATE LIMITED,U74899DL1993PTC053153,RoC-Delhi,20/04/1993,"289, CHATTARPUR PAHARI ROAD, NEAR DHAN MILL, NEW DELHI Delhi INDIA 110030",₹ 3500000,₹ 3320000,,,ACTIVE
689,PRAMESH FINANCE AND INVESTMENT PRIVATE LIMITED,U74900DL1986PTC024322,RoC-Delhi,27/05/1986,1-E /2 JHANDEWALA EXTENSION Y NEW DELHI Delhi INDIA 110055,₹ 150000,₹ 150000,,,ACTIVE
690,RHG HOSPITALITY SERVICES PRIVATE LIMITED,U55205HR2017PTC071428,RoC-Delhi,10/11/2017,H.NO. 868 SECTOR - 15A FARIDABAD Faridabad HR 121007 IN,₹ 1000000,₹ 200000,,,Active
691,ALTUS SURGICALS PRIVATE LIMITED,U33119GJ2008PTC055418,RoC-Ahmedabad,12/11/2008,21/D Mahagujarat Industrial Estate Sarkhej Bavla Road Moraiya GJ 382210 IN,₹ 1000000,₹ 1000000,29/09/2017,31/03/2017,Active
692,GOYAL FABRICS PRIVATE LIMITED,U74899DL1993PTC052984,RoC-Delhi,08/04/1993,B-23 ASHOK VIHAR PHASE-I NEW DELHI Delhi INDIA 110052,₹ 1000000,₹ 931000,,,ACTIVE
693,ANSHU MERCANTILE PRIVATE LIMITED,U51109MH2008PTC183344,RoC-Mumbai,10/06/2008,S. G. NO 231/239/G-8 ZARIWALA CHAWL NO. 75 NEHRUNAGAR MUMBAI Mumbai City MH 400022 IN,₹ 100000,₹ 0,,,Strike Off
694,PRO FILL PACKAGING MACHINERY PRIVATE LIMITED,U29253TG2012PTC078668,RoC-Hyderabad,19/01/2012,56 NAVODAYA COLONY PHASE 5 INDUSTRIAL AREA CHERALAPALLY HYDERABAD Hyderabad TG 500051 IN,₹ 100000,₹ 100000,,,Strike Off
695,BORBHUYAN COMFORTINN SERVICE APARTMENT PRIVATE LIMITED,U55204KA2017PTC108534,RoC-Bangalore,08/12/2017,NO-126 2ND CROSSK G A ROADKODIHALLI OLD AIRPORT ROAD BANGALORE Bangalore KA 560008 IN,₹ 500000,₹ 500000,,,Active
696,GLOW MEDICARE PRIVATE LIMITED,U33110UP2008PTC035304,RoC-Kanpur,26/05/2008,133/97-KA RADHA COMPLEX SHOP NO.-56 OLD BAJAJA AMINABAD LUCKNOW UP 226001 IN,₹ 500000,₹ 300000,29/09/2017,31/03/2017,Active
697,BALK CONSULTANTS PRIVATE LIMITED,U74140DL2011PTC217764,RoC-Delhi,18/04/2011,106 First Floor Maharaja Agarsen Shopping Complex LSC 7 Sector 9 Rohini DL 110085 IN,₹ 100000,₹ 100000,29/09/2017,31/03/2017,Active
698,FREIGHTOPTICS SERVICES PRIVATE LIMITED,U93000KA2015PTC082368,RoC-Bangalore,19/08/2015,704th CrossTalakaverinagar Layout Near Basavanagar Bus StandOff old Airport Road Bangalore Bangalore KA 560037 IN,₹ 1000000,₹ 625000,14/10/2016,31/03/2016,Active
699,BUONA MEDICAL DEVICES PRIVATE LIMITED,U33110WB2012PTC181634,RoC-Kolkata,14/05/2012,21A SULTAN ALAM ROAD 3C SWISS RESIDENCY KOLKATA WB 700033 IN,₹ 25000000,₹ 4985000,30/09/2016,31/03/2016,Active
700,DSQUARE MEASUREMENT & CONTROL SOLUTIONS PRIVATE LIMITED,U74140KL2012PTC031361,ROC-Ernakulam,04/06/2012,"PRASOONAM, FFRA. 35 MUNDAKKAL KOLLAM Kerala INDIA 691001",₹ 500000,₹ 100000,,,UNDER PROCESS OF STRIKING OFF
701,BENGAL SHIPYARD LIMITED,U35111WB2007PLC116261,RoC-Kolkata,31/05/2007,APEEJAY HOUSE 15 PARK STREET KOLKATA WB 700016 IN,₹ 40000000,₹ 40000000,28/09/2016,31/03/2016,Active
702,SUPERIOR CRAFTS PRIVATE LIMITED,U74899DL1995PTC072551,RoC-Delhi,19/09/1995,SATYAM CINEMA BUILDING RANJEETNAGAR COMMUNITY CNETRE PATEL NAGAR NEW DELHI Delhi INDIA 110008,₹ 5000000,₹ 1157000,,,ACTIVE
703,PRACHI MANAGEMENT SERVICES PRIVATE LIMITED,U74140WB1998PTC087838,RoC-Kolkata,31/08/1998,20 N S ROAD1ST FLOOR R N 15 BLOCK A KOLKATA West Bengal INDIA 700001,₹ 100000,₹ 100000,,,ACTIVE
704,IPL ENGINE COMPONENTS PRIVATE LIMITED,U29253TN2010PTC077285,RoC-Chennai,08/09/2010,Huzur Gardens Sembiam chennai Chennai TN 600011 IN,₹ 60000000,₹ 55500000,09/08/2016,31/03/2016,Active
705,INDIRA INDUSTRIES PRIVATE LIMITED,U29253TN2010PTC075381,RoC-Chennai,16/04/2010,NO.9 VASANTH APARTMENTS DOOR NO.4 III FLOOR MONTIETH LANE EGMORE CHENNAI TN 600008 IN,₹ 10000000,₹ 100000,30/09/2016,31/03/2016,Active
706,PARNANETRA FARMER PRODUCER COMPANY LIMITED,U01100MH2017PTC303194,RoC-Mumbai,21/12/2017,C/o LILADHAR SALODE 10A VASUNDHARA COLONY GRUH NIRMAN SANSTHA VMV ROAD AMRAVATI Amravati MH 444601 IN,₹ 1000000,₹ 100000,,,Active
707,MANAGEMENT DEVELOPMENT SERVICES (MADRAS) PRIVATE LIMITED,U74140TN1993PTC025044,RoC-Chennai,12/05/1993,"8/7 LALITHA NAGAR1ST PAPANASAM SIVAN ROAD MYLAPORE, MADRAS-600 004 MYLAPORE, MADRAS-600 004 Tamil Nadu INDIA 600004",₹ 1000000,₹ 60000,,,STRIKE OFF
708,VERMA REAL ESTATE PRIVATE LIMITED,U74999WB2012PTC181465,RoC-Kolkata,08/05/2012,RGM/3/284 JAGARDANGA RAJARHAT GOPAL PUR 24 PARGANAS (NORTH) KOLKATA WB 700136 IN,₹ 2000000,₹ 400000,30/09/2017,31/03/2017,Active
709,MACALINK SERVICES PRIVATE LIMITED,U51909KA1980PTC003999,RoC-Bangalore,13/11/1980,"239/6 II FLOOR,BULL TEMPLE ROAD, CHAMRAJNAGAR,BANGALORE- Karnataka INDIA 560018",₹ 1000000,₹ 300,,,DORMANT
710,LAYCOCK ENGINEERS PRIVATE LIMITED,U29299DL1982PTC013684,RoC-Delhi,18/05/1982,19/19 EAST PUNJABI BAGH NEW DELHI Delhi INDIA 110026,₹ 10000000,₹ 7550000,,,ACTIVE
711,NATRAJ MACHINERY PVT.LTD.,U29299DL1983PTC015943,RoC-Delhi,18/06/1983,"PLOT NO. 66 SECTOR 27C HARYANA, Delhi INDIA 121003",₹,₹,,,DORMANT
712,JIJAWATI ELECTROTECH PRIVATE LIMITED,U31908MH2012PTC233924,RoC-Mumbai,31/07/2012,SHRINATH COMPLEX SECOND FLOOR SAHAKAR NAGAR AURANGABAD Aurangabad MH 431005 IN,₹ 100000,₹ 100000,,,Strike Off
713,RISING LIVESTOCK PRIVATE LIMITED,U74120UP2011PTC047326,RoC-Kanpur,09/11/2011,BUDDH NAGAR WARD NO.7 SIDDHARATH NAGAR Siddharth Nagar UP 272207 IN,₹ 100000,₹ 100000,,,Active
714,BLD CONSULTANCY SERVICES PRIVATE LIMITED,U74140WB1998PTC087216,RoC-Kolkata,28/05/1998,135 CANNING STREET KOLKATA West Bengal INDIA 700001,₹ 3000000,₹ 2962200,,,ACTIVE
715,BANSAL GENERATIONS LIMITED,U31102CH2001PLC024409,RoC-Chandigarh,21/05/2001,"S.C.O.171, FIRST FLOOR, SECTOR-38-C CHANDIGARH Chandigarh INDIA 160036",₹ 12500000,₹ 12500000,,,ACTIVE
716,KAMCO PACKAGING PRIVATE LIMITED,U25209MP2017PTC043770,RoC-Gwalior,20/07/2017,"Scheme No. 114-1, Plot No. 1054-M, Vijay Nagar Indore Indore MP 452010 IN",₹ 1000000,₹ 600000,31/12/2020,31/03/2020,Active
717,ANGARIK DEVELOPERS PRIVATE LIMITED,U45400WB2012PTC179556,RoC-Kolkata,04/04/2012,133 CANNING STREET 2ND FLOOR KOLKATA Kolkata WB 700001 IN,₹ 100000,₹ 100000,29/09/2017,31/03/2017,Active
718,LESOKART INDUSTRIES PRIVATE LIMITED,U27310MH2017PTC299502,RoC-Mumbai,08/09/2017,PLOT NO 34 GUT NO 46 GHANEGAO MIDC WALUJ AURANGABAD Aurangabad MH 431136 IN,₹ 100000,₹ 100000,,,Active
719,AIR COOL REFRIGERATION PRIVATE LIMITED,U31908MH2012PTC235004,RoC-Mumbai,27/08/2012,SHOP NO.1 CHANDRA UDAY SOCIETY NEAR BMC QUARTERSMAHAKALI CAVES ROADANDHERI (E) MUMBAI Mumbai City MH 400093 IN,₹ 500000,₹ 500000,29/09/2017,31/03/2017,Active
720,FUSION TECH PROJECTS PRIVATE LIMITED,U74900DL2013PTC250696,RoC-Delhi,12/04/2013,199 CGHS Manu Apartment Mayur Vihar Phase 1 Delhi East Delhi DL 110091 IN,₹ 100000,₹ 100000,29/09/2017,31/03/2017,Active
721,ANDAMAN AIRWAYS PRIVATE LIMITED,U74999AN2017PTC005353,RoC-ANDAMAN,03/05/2017,SURVEY NO. 2388/2 AT MB-210 PART II ROOM NO. 3 GROUND FLOOR VILL SHADIPUR PORT BLAIR Andaman Islands AN 744106 IN,₹ 60000000,₹ 53502000,,,Active
722,A S M MERCANTILE PRIVATE LIMITED,U52590PB2009PTC032945,RoC-Chandigarh,19/06/2009,670GURDEV NAGAR 3D LANEPAKHOWAL ROAD LUDHIANA Ludhiana PB 141001 IN,₹ 100000,₹ 100000,,,Strike Off
723,SIYA RAM TELE SYSTEMS PRIVATE LIMITED,U31401DL1997PTC085015,RoC-Delhi,07/02/1997,41 SHARAD VIHAR NEW DELHI Delhi INDIA,₹ 200000,₹ 2000,,,DORMANT
724,SAVERA AUTO COMPS PRIVATE LIMITED,U29299MH1996PTC102506,RoC-Mumbai,11/09/1996,"""""ANJALI COMPLEX""",₹ 30000000,₹ 12655320,,,ACTIVE
725,LEBEN HEALTOUCH PRIVATE LIMITED,U85300MH2016PTC280418,RoC-Mumbai,26/04/2016,BLOCK NO. 5 KAMAL HOUSING SOCIETY OPP. MAIN HOSPITAL AKOLA Akola MH 444001 IN,₹ 1000000,₹ 100000,,,Active
726,IMPRESSION AUTO COMPONENTS PRIVATE LIMITED,U29253PN2011PTC141074,RoC-Pune,14/10/2011,247/11/2SADAPHULI PARK D.P ROADAUNDH PUNE MH 411007 IN,₹ 23000000,₹ 23000000,22/09/2017,31/03/2017,Active
727,N-ARC CONSULTING PRIVATE LIMITED,U74900DL2013PTC250198,RoC-Delhi,03/04/2013,FLAT NO.99 PLOT NO.34 VIDYA SAGAR APPARTMENTSECTOR-6 DWARKA NEW DELHI North West DL 110075 IN,₹ 500000,₹ 100000,,,Active
728,CONCORD STEEL WORKS PRIVATE LIMITED,U29290MH1976PTC019272,RoC-Mumbai,15/10/1976,"305, GREAT EASTERN CHAMBERS, SECTOR-11, CBD BELAPUR, NAVI MUMBAI Maharashtra INDIA 400614",₹ 2500000,₹ 1374000,,,ACTIVE
729,TYAGI DAIRY FARMS PRIVATE LIMITED,U01100UR2018PTC009072,RoC-Uttarakhand,26/09/2018,"406, ASHOK MARG RAM NAGAR ROORKEE Haridwar UR 247667 IN",₹ 1000000,₹ 500000,,,Under Process of Striking Off
730,JAMUNA FIBRES PVT. LTD.,U29261WB1991PTC052419,RoC-Kolkata,25/07/1991,23A NETAJI SUBHASH ROAD KOLKATA West Bengal INDIA 700001,₹ 500000,₹ 200000,,,DORMANT
731,GOGREEN ENERGY SOLUTIONS PRIVATE LIMITED,U29253TN2009PTC072761,RoC-Chennai,02/09/2009,30A Satyalok Apartments Samanthi Street Brindavan Nagar Chennai TN 600092 IN,₹ 1000000,₹ 100000,28/09/2013,31/03/2013,Strike Off
732,PENTA GEAR TECHNOLOGY PRIVATE LIMITED,U29299PN2005PTC020773,RoC-Pune,24/05/2005,"OFFICE NO. 7, PATEL COMPLEX,PAUD ROAD, KOTHRUD, PUNE Maharashtra INDIA 411038",₹ 500000,₹ 200000,,,STRIKE OFF
733,PROGETTI PROJECTS INDIA PRIVATE LIMITED,U29253TG2009PTC063282,RoC-Hyderabad,07/04/2009,8-2-468/A//1/3 Road No- 5 Banjara Hills HYDERABAD TG 500034 IN,₹ 500000,₹ 500000,29/09/2017,31/03/2017,Active
734,WINGS OF EAGLE SALES AND SERVICES PRIVATE LIMITED,U74999MH2015PTC268147,RoC-Mumbai,07/09/2015,713 Building No.4 Shree Tirupati Balaji Sra Chs Koldongri Sahar Road Andheri East MUMBAI Mumbai City MH 400091 IN,₹ 100000,₹ 100000,,,Active
735,TROOP REALTY PRIVATE LIMITED,U70109WB2012PTC183169,RoC-Kolkata,26/06/2012,11 CROOKED LANE GROUND FLOOR KOLKATA WB 700069 IN,₹ 100000,₹ 100000,29/09/2017,31/03/2017,Active
